feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	log2FC	Trend	MicrobeClass
CON26__27821	Group	MI	-3.56963414378206	0.632712649098381	85	41	2.27364757598552e-07	0.00186798753792378	-3.56963414378206	Down	virus
CON28__60082	Group	MI	-3.34398235203145	0.601427063839135	85	35	3.20052692182606e-07	0.00186798753792378	-3.34398235203145	Down	virus
CON35__30874	Group	MI	-3.39609256577531	0.649613920377251	85	31	1.2578513573666e-06	0.00367072472363507	-3.39609256577531	Down	virus
CON35__53586	Group	MI	-3.32290598245779	0.627254300854101	85	37	9.46799060239357e-07	0.00367072472363507	-3.32290598245779	Down	virus
CON20__16571	Group	MI	-2.63947628759147	0.519425591740571	85	34	2.27161764252332e-06	0.00461578561367041	-2.63947628759147	Down	virus
CON35__43183	Group	MI	-2.89603616382592	0.571132367823301	85	32	2.37254464850702e-06	0.00461578561367041	-2.89603616382592	Down	virus
CON24__94729	Group	MI	-3.14398019211042	0.632320352423309	85	35	3.51595922917242e-06	0.00586311315458994	-3.14398019211042	Down	virus
CON1__69307	Group	MI	-2.91392784516789	0.6007888243816	85	37	5.69137575220815e-06	0.00814390260131566	-2.91392784516789	Down	virus
CON35__26243	Group	MI	-4.08566504314829	0.846751548128732	85	59	6.2790305330113e-06	0.00814390260131566	-4.08566504314829	Down	virus
CON10__86495	Group	MI	-3.44677648375391	0.741869403721208	85	33	1.25746896971545e-05	0.0128603216026525	-3.44677648375391	Down	virus
CON43__13370	Group	MI	-1.9669767766978	0.424555912999111	85	28	1.32205824750989e-05	0.0128603216026525	-1.9669767766978	Down	virus
MI33__20705	Group	MI	-4.25630350524296	0.914335803791517	85	54	1.21467617746703e-05	0.0128603216026525	-4.25630350524296	Down	virus
CON34__52914	Group	MI	-2.84964923066634	0.625884637641933	85	40	1.79466969900013e-05	0.0161147533818681	-2.84964923066634	Down	virus
CON1__33049	Group	MI	-3.21980055061598	0.716865176223871	85	47	2.26545340068297e-05	0.0165278984663577	-3.21980055061598	Down	virus
CON26__17032	Group	MI	-2.65186980931696	0.588169693007777	85	29	2.12305909219828e-05	0.0165278984663577	-2.65186980931696	Down	virus
CON38__74710	Group	MI	-3.78481713238688	0.840627959364559	85	66	2.17434077748127e-05	0.0165278984663577	-3.78481713238688	Down	virus
CON34__22620	Group	MI	-3.43261744250068	0.773277235565372	85	57	2.75974719155448e-05	0.0189497229217738	-3.43261744250068	Down	virus
CON20__53938	Group	MI	-2.65366808787706	0.604693556064266	85	31	3.33464651984148e-05	0.0207607109489667	-2.65366808787706	Down	virus
CON47__26168	Group	MI	-2.38968856720557	0.544982488657579	85	29	3.3791956483369e-05	0.0207607109489667	-2.38968856720557	Down	virus
CON1__71032	Group	MI	-2.35798231551432	0.544155976599797	85	33	4.09322002216173e-05	0.0211279428876378	-2.35798231551432	Down	virus
CON26__4418	Group	MI	-2.50491016792607	0.578672333490093	85	37	4.16296313214829e-05	0.0211279428876378	-2.50491016792607	Down	virus
CON43__44846	Group	MI	-1.80372486044179	0.416252695895914	85	27	4.09381105318482e-05	0.0211279428876378	-1.80372486044179	Down	virus
CON6__2592	Group	MI	-3.07668547806861	0.709159221426695	85	28	4.01493886982961e-05	0.0211279428876378	-3.07668547806861	Down	virus
CON35__22276	Group	MI	-2.32520173323772	0.543885005210403	85	28	5.07182847174788e-05	0.0246681057294638	-2.32520173323772	Down	virus
CON26__7583	Group	MI	-2.91448856706239	0.689500519768072	85	55	6.05173656643871e-05	0.0282567683760156	-2.91448856706239	Down	virus
CON34__10987	Group	MI	-2.1247878288869	0.513748428719374	85	20	8.42366857803758e-05	0.0378190320428587	-2.1247878288869	Down	virus
CON34__8025	Group	MI	-2.0256827625684	0.494329490376786	85	31	9.6583614760902e-05	0.0417563161149633	-2.0256827625684	Down	virus
CON43__66241	Group	MI	-1.90629922923882	0.470435069439991	85	30	0.000113710293754739	0.0474050092499666	-1.90629922923882	Down	virus
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum	Group	MI	3.13121453308038	0.377560584984108	85	25	1.69249596786329e-12	2.73338098809921e-10	3.13121453308038	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.s__Herbaspirillum_sp	Group	MI	3.13121453308038	0.377560584984108	85	25	1.69249596786329e-12	2.73338098809921e-10	3.13121453308038	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	Group	MI	3.3784102392188	0.60185688423884	85	30	2.56200926674688e-07	2.75842997719747e-05	3.3784102392188	Up	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Group	MI	-4.16806835534296	0.827230636965706	85	39	2.69800642055934e-06	0.000217864018460167	-4.16806835534296	Down	bacteria
